ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
SLV,Commodity,25,0.99,-0.06437127888365478,0.5126247798003524,0.018190167177706464
SPY,US Equity,25,0.99,0.27234475245756956,0.5374169315226813,0.010762923577963848
TIP,Fixed Income,25,0.99,0.014160794618281477,0.5,0.003663404187043378
TLT,Fixed Income,25,0.99,0.5115767355600168,0.5211104684788895,0.009622706292095806
USO,Commodity,25,0.99,0.162510976884688,0.5134978229317851,0.022753274949415488
VNQ,Real Estate,25,0.99,-0.20399011355253585,0.5176504629629629,0.012781687148218037
XLE,US Equity,25,0.99,-0.05264989931619934,0.5073763378652011,0.0175671872021992
XLF,US Equity,25,0.99,0.218701165842847,0.5246859479988314,0.013844435257275474
XLK,US Equity,25,0.99,0.3008149533778352,0.5396456578565205,0.013605560136722823
XLP,US Equity,25,0.99,0.2531588093862501,0.5229330996202162,0.00876711058491365
XLU,US Equity,25,0.99,0.06773564473392953,0.5260098808485906,0.011277232727313917
XLV,US Equity,25,0.99,0.35281857957966756,0.5271565495207667,0.010256499466487656
DBC,Commodity,25,1.0,-0.1180865779092395,0.4716092968520153,0.010771621050715222
DIA,US Equity,25,1.0,0.738691178475601,0.5476603119584056,0.010473863121172072
EEM,Intl Equity,25,1.0,-0.1207929497425255,0.5117629973860006,0.013380761183832284
EFA,Intl Equity,25,1.0,0.2019586303560715,0.5259495505943752,0.011369195386693494
EWJ,Intl Equity,25,1.0,0.3007358476955914,0.5262848751835536,0.011096887487104601
FXI,Intl Equity,25,1.0,-0.0029878326293977936,0.49390243902439024,0.017269140390335173
GLD,Commodity,25,1.0,0.13720254802231216,0.5141618497109827,0.009737996477767472
HYG,Fixed Income,25,1.0,0.3965873840214075,0.5298071303331385,0.005341834765023164
IEF,Fixed Income,25,1.0,0.3271845997385727,0.5197215777262181,0.004162582549774821
IWM,US Equity,25,1.0,0.4677034891947629,0.533467974610502,0.013946974989073069
LQD,Fixed Income,25,1.0,0.46832149953281743,0.5418848167539267,0.004950871156195398
QQQ,US Equity,25,1.0,0.7453692812854812,0.5562301243133854,0.012969828862938636
SLV,Commodity,25,1.0,-0.2004608272800025,0.49500880798590724,0.01816185982283285
SPY,US Equity,25,1.0,0.6886533120247862,0.5492632187229125,0.010743132573476595
TIP,Fixed Income,25,1.0,0.42604264734570807,0.5195563339171045,0.003656567679388623
TLT,Fixed Income,25,1.0,0.231771000050447,0.5231347599768652,0.009609707379072779
USO,Commodity,25,1.0,0.03250857722206971,0.4867924528301887,0.022732429023168705
VNQ,Real Estate,25,1.0,0.4552706606082929,0.5370370370370371,0.01275545726735784
XLE,US Equity,25,1.0,0.14442823767546686,0.5120046282904253,0.017524552004869604
XLF,US Equity,25,1.0,0.5211757350479646,0.5293602103418055,0.01382254721799224
XLK,US Equity,25,1.0,0.7732703060724105,0.550682544292768,0.013577407715523694
XLP,US Equity,25,1.0,0.7767542546855969,0.5404615834063686,0.008745972038468006
XLU,US Equity,25,1.0,0.547253623225426,0.5411217669282186,0.011247015941735298
XLV,US Equity,25,1.0,0.823541150209493,0.5419692128957304,0.01023511927478579
DBC,Commodity,50,0.95,0.34978255589531354,0.5207413945278023,0.010869191527687451
DIA,US Equity,50,0.95,-0.3076748014368098,0.5132871172732525,0.010594321445805634
EEM,Intl Equity,50,0.95,-0.1376673691205333,0.5010165553296544,0.013546848007554914
EFA,Intl Equity,50,0.95,-0.21548919526121946,0.5050739344737605,0.011508378262119631
EWJ,Intl Equity,50,0.95,-0.45305454817332363,0.4939794419970631,0.011244302924726637
FXI,Intl Equity,50,0.95,-0.04272767985634852,0.5,0.01750923857538329
GLD,Commodity,50,0.95,0.2967156332539494,0.5095375722543353,0.009848290389565034
HYG,Fixed Income,50,0.95,0.09101407208780901,0.5140268848626535,0.005395623016130163
IEF,Fixed Income,50,0.95,0.35265906397182045,0.5060904872389791,0.004213035403859731
IWM,US Equity,50,0.95,-0.17714389332429242,0.5014425851125216,0.01411748430402934
LQD,Fixed Income,50,0.95,0.237075775792905,0.5180337405468296,0.004988150356260603
QQQ,US Equity,50,0.95,-0.17958413507783275,0.5235617230413414,0.013139995497082294
SLV,Commodity,50,0.95,0.03366618830374968,0.49794480328831475,0.018357698678414042
SPY,US Equity,50,0.95,-0.2572161445989711,0.514591158624675,0.01087472100716557
TIP,Fixed Income,50,0.95,0.14104906776247408,0.5017513134851138,0.0037022869614099434
TLT,Fixed Income,50,0.95,0.2500635414941874,0.4985540775014459,0.009727181321195303
USO,Commodity,50,0.95,0.1375924359079589,0.5085631349782294,0.022891282533003758
VNQ,Real Estate,50,0.95,-0.00435497915028494,0.5086805555555556,0.012891184017439678
XLE,US Equity,50,0.95,-0.017126901851431797,0.5070870697136245,0.017724793654433052
XLF,US Equity,50,0.95,-0.12436026062390985,0.49780893952673094,0.013970767087098244
XLK,US Equity,50,0.95,-0.27958206148245157,0.5129247749056056,0.013755539258650504
XLP,US Equity,50,0.95,-0.037196370909295666,0.502483201869705,0.008850436216449322
XLU,US Equity,50,0.95,-0.2717504522883664,0.5039232781168265,0.011373450906644185
XLV,US Equity,50,0.95,-0.46807930336708625,0.4989834446703456,0.01036896397935912
DBC,Commodity,50,0.98,0.025570019989710157,0.511326860841424,0.010806399465420854
DIA,US Equity,50,0.98,-0.3119760742387429,0.5135759676487579,0.010524171584379407
EEM,Intl Equity,50,0.98,-0.025738888602578912,0.5091489979668894,0.01344583350004573
EFA,Intl Equity,50,0.98,-0.09194134486523747,0.5178312554363583,0.011423068455366645
EWJ,Intl Equity,50,0.98,-0.18770257415964658,0.5098384728340676,0.011154359963476999
FXI,Intl Equity,50,0.98,0.06697736319255214,0.5063879210220673,0.01737371913708628
GLD,Commodity,50,0.98,0.2887720713109622,0.5184971098265896,0.009782070010206182
HYG,Fixed Income,50,0.98,0.018139141418285185,0.5169491525423728,0.005360630255310384
IEF,Fixed Income,50,0.98,0.4309251338686091,0.507830626450116,0.004180602472948908
IWM,US Equity,50,0.98,-0.008944642251391867,0.5092325447201385,0.014016600867537822
LQD,Fixed Income,50,0.98,0.40706836517310585,0.5235602094240838,0.0049633738215058
QQQ,US Equity,50,0.98,0.14932373940622976,0.5388840705406187,0.01303337683811361
SLV,Commodity,50,0.98,0.0429629493051739,0.505871990604815,0.01823311171169673
SPY,US Equity,50,0.98,-0.3047542816533438,0.5249927766541462,0.010795036646328297
TIP,Fixed Income,50,0.98,0.0234160173822755,0.4979568009340339,0.0036731832395671283
TLT,Fixed Income,50,0.98,0.3000331174080966,0.510989010989011,0.009651934922075665
USO,Commodity,50,0.98,0.19912168841180927,0.5108853410740203,0.022796686841205643
VNQ,Real Estate,50,0.98,-0.39362600603369624,0.5069444444444444,0.012809865466694565
XLE,US Equity,50,0.98,-0.030195401801892386,0.5070870697136245,0.017607541887945218
XLF,US Equity,50,0.98,0.06333163725556415,0.5141688577271399,0.013878304199626582
XLK,US Equity,50,0.98,0.07615137376517263,0.5277374382805693,0.013646583450483998
XLP,US Equity,50,0.98,-0.1641774890640805,0.509494595384166,0.008789371592004746
XLU,US Equity,50,0.98,-0.3872009001454645,0.5088637024120896,0.011302090975224815
XLV,US Equity,50,0.98,0.09635380934772561,0.5175718849840255,0.010285657165128297
DBC,Commodity,50,0.99,0.16615546540035683,0.5095616357752281,0.0107857595807712
DIA,US Equity,50,0.99,-0.07079694060952932,0.5262853841709995,0.01049964701976226
EEM,Intl Equity,50,0.99,-0.33679575187539934,0.5039209991286668,0.01341374420213955
EFA,Intl Equity,50,0.99,-0.27471005274739513,0.5094230211655553,0.011396511463109936
EWJ,Intl Equity,50,0.99,-0.2810589234920637,0.5104258443465491,0.011125629601559864
FXI,Intl Equity,50,0.99,-0.07766524149399737,0.5058072009291521,0.017323848773232592
GLD,Commodity,50,0.99,0.1846215395812581,0.5173410404624278,0.009758627625919123
HYG,Fixed Income,50,0.99,0.1532625554018116,0.527177089421391,0.0053504357896678265
IEF,Fixed Income,50,0.99,0.4094336165801421,0.5113109048723898,0.004168952533920355
IWM,US Equity,50,0.99,-0.02862898431440162,0.5124062319676861,0.013983635550353367
LQD,Fixed Income,50,0.99,0.17872009592806162,0.518324607329843,0.004955181766225327
QQQ,US Equity,50,0.99,0.39865854225499026,0.5504481063891298,0.01299822948300479
SLV,Commodity,50,0.99,-0.1444901444637565,0.5120375807398708,0.018184484244620856
SPY,US Equity,50,0.99,0.28570398623315274,0.5400173360300491,0.010768110170080926
TIP,Fixed Income,50,0.99,-0.10633270134112971,0.4982486865148862,0.0036633665490049616
TLT,Fixed Income,50,0.99,0.38283252792859795,0.518796992481203,0.009626184407250224
USO,Commodity,50,0.99,0.13962061265757494,0.5042089985486212,0.022761033498908727
VNQ,Real Estate,50,0.99,-0.32893548456739846,0.5133101851851852,0.012782594164620586
XLE,US Equity,50,0.99,-0.01861590934474798,0.5096904830778132,0.01756970532095543
XLF,US Equity,50,0.99,0.04715102403658874,0.5194274028629857,0.013851715074727277
XLK,US Equity,50,0.99,0.36847446081085183,0.5364507696776067,0.013609993528780836
XLP,US Equity,50,0.99,0.2517091227081462,0.5246859479988314,0.00876772741104112
XLU,US Equity,50,0.99,0.10661690802081523,0.5254286544609126,0.011275686634122853
XLV,US Equity,50,0.99,0.08073764253391913,0.5190241068835318,0.010258420471593217
DBC,Commodity,50,1.0,-0.08270932122386485,0.47602235951750516,0.010775300275067609
DIA,US Equity,50,1.0,0.5731787143718026,0.5398613518197574,0.01047478935488101
EEM,Intl Equity,50,1.0,-0.03061513204064835,0.5059541097879756,0.01338139370470377
EFA,Intl Equity,50,1.0,0.13717394164407684,0.5233400985792983,0.01137047917455525
EWJ,Intl Equity,50,1.0,0.2546957704376106,0.5268722466960353,0.011097045388770264
FXI,Intl Equity,50,1.0,0.03094458000199258,0.4921602787456446,0.017268596704653024
GLD,Commodity,50,1.0,0.16610988395718046,0.5144508670520231,0.009739201781471545
HYG,Fixed Income,50,1.0,0.32088794959544825,0.5260081823495032,0.005342499395056475
IEF,Fixed Income,50,1.0,0.3271845997385727,0.5197215777262181,0.004162643286473417
IWM,US Equity,50,1.0,0.20714245064246417,0.5279861511829198,0.013948212774160114
LQD,Fixed Income,50,1.0,0.46832149953281743,0.5418848167539267,0.004950408757305228
QQQ,US Equity,50,1.0,0.7895969641370019,0.555362821624747,0.012971339869787993
SLV,Commodity,50,1.0,-0.2522438207600722,0.4935408103347035,0.01814853537001783
SPY,US Equity,50,1.0,0.6190781896910068,0.542328806703265,0.01074491343713501
TIP,Fixed Income,50,1.0,0.42604264734570807,0.5195563339171045,0.0036568664603964145
TLT,Fixed Income,50,1.0,0.231771000050447,0.5231347599768652,0.009609514604917177
USO,Commodity,50,1.0,0.015564644807466417,0.4795355587808418,0.02273521585273563
VNQ,Real Estate,50,1.0,0.4552706606082929,0.5370370370370371,0.012754924135627205
XLE,US Equity,50,1.0,-0.24583081262597664,0.506797801562048,0.017526127679672408
XLF,US Equity,50,1.0,0.49152852039292333,0.528191644756062,0.013826017176282767
XLK,US Equity,50,1.0,0.774818427651524,0.5480685448736567,0.013579836022656723
XLP,US Equity,50,1.0,0.7767542546855969,0.5404615834063686,0.008745774062454005
XLU,US Equity,50,1.0,0.4243310115478403,0.5347282766637605,0.011247197543629682
XLV,US Equity,50,1.0,0.7404668821371809,0.5416787685158292,0.010235165495055603
DBC,Commodity,100,0.95,0.30690125190382955,0.517799352750809,0.010869811800095873
DIA,US Equity,100,0.95,-0.2480157280168546,0.512420566146736,0.010600871090617869
EEM,Intl Equity,100,0.95,-0.1843752790830223,0.49549811211153066,0.013553953473726094
EFA,Intl Equity,100,0.95,-0.23239362848543063,0.5044940562481879,0.011514190835448173
EWJ,Intl Equity,100,0.95,-0.37837212528391867,0.4983847283406755,0.011254428489175052
FXI,Intl Equity,100,0.95,-0.04410015475394787,0.49825783972125437,0.017516118285329247
GLD,Commodity,100,0.95,0.12881375725495386,0.5052023121387283,0.009851754256127953
HYG,Fixed Income,100,0.95,0.22997868862598558,0.5213325540619521,0.005397674356082408
IEF,Fixed Income,100,0.95,0.30596407120697544,0.5029002320185615,0.004211399858498137
IWM,US Equity,100,0.95,-0.14516052638955354,0.5046162723600692,0.014126015527918721
LQD,Fixed Income,100,0.95,0.3488750836228429,0.516870273414776,0.0049950220173590335
QQQ,US Equity,100,0.95,-0.054192897748761876,0.5229835212489159,0.013153687343339679
SLV,Commodity,100,0.95,0.10180397734868289,0.5,0.018354256384644968
